Cell id,Area,Perimeter,R_inscribing,R_circumscribing,Convex hull area,Convex hull perimeter,Major axis length,Minor axis length,Centroids
457.0,1577,188,13.892443989449804,31.304951684997057,1675,188,60.4,32.0,"(1965.0 , 1050.0)"
458.0,1064,148,12.083045973594572,25.612496949731394,1130,148,46.6,32.0,"(984.0 , 1048.0)"
459.0,653,108,12.0,15.652475842498529,658,108,30.1,28.0,"(1380.0 , 1046.0)"
460.0,754,124,11.40175425099138,19.6468827043885,783,124,37.7,26.0,"(593.0 , 1053.0)"
461.0,887,140,9.899494936611665,23.259406699226016,961,140,46.1,29.0,"(764.0 , 1050.0)"
462.0,2580,260,18.439088914585774,40.52159917870962,2927,258,81.0,54.0,"(836.0 , 1061.0)"
463.0,1565,220,9.899494936611665,39.824615503479755,1725,220,74.1,29.0,"(1813.0 , 1062.0)"
464.0,724,116,11.661903789690601,17.88854381999832,759,116,34.9,28.0,"(919.0 , 1059.0)"
465.0,841,124,13.416407864998739,19.209372712298546,866,124,37.7,31.0,"(519.0 , 1059.0)"
466.0,669,110,12.041594578792296,16.64331697709324,687,110,30.8,29.0,"(562.0 , 1062.0)"
467.0,2918,278,10.0,41.593268686170845,3411,266,81.8,48.0,"(1512.0 , 1085.0)"
468.0,1290,182,13.416407864998739,28.635642126552707,1370,182,50.8,40.0,"(792.0 , 1072.0)"
469.0,2099,226,15.0,39.293765408777,2227,226,76.2,36.0,"(643.0 , 1086.0)"
470.0,1277,160,15.264337522473747,24.20743687382041,1375,160,46.2,39.0,"(1205.0 , 1074.0)"
471.0,1430,176,14.0,29.832867780352597,1506,176,59.5,32.0,"(1714.0 , 1075.0)"
472.0,1533,188,13.892443989449804,31.064449134018133,1703,188,57.7,36.0,"(1837.0 , 1090.0)"
473.0,2171,248,8.06225774829855,33.83784863137726,2450,220,66.8,48.0,"(1368.0 , 1087.0)"
474.0,1595,190,15.132745950421556,34.20526275297414,1704,190,65.3,38.0,"(1564.0 , 1094.0)"
475.0,1275,154,17.0,24.186773244895647,1335,154,46.4,40.0,"(1610.0 , 1090.0)"
476.0,1129,152,12.806248474865697,23.345235059857504,1208,152,45.9,32.0,"(1049.0 , 1093.0)"
477.0,1521,194,13.038404810405298,32.2490309931942,1677,194,62.6,34.0,"(255.0 , 1102.0)"
478.0,1836,226,13.0,37.57658845611187,2017,226,73.5,34.0,"(972.0 , 1094.0)"
479.0,1158,164,12.041594578792296,28.42534080710379,1249,164,56.4,30.0,"(1269.0 , 1093.0)"
480.0,681,116,10.295630140987,18.35755975068582,711,116,33.6,28.0,"(918.0 , 1094.0)"
481.0,1544,174,15.524174696260024,26.92582403567252,1633,174,52.4,44.0,"(1147.0 , 1100.0)"
482.0,1682,190,16.76305461424021,27.018512172212592,1790,190,53.5,47.0,"(1662.0 , 1106.0)"
483.0,1462,178,14.422205101855956,30.364452901377952,1511,178,59.8,32.0,"(708.0 , 1098.0)"
484.0,1597,194,11.661903789690601,32.449961479175904,1716,194,59.9,33.0,"(871.0 , 1102.0)"
485.0,1672,178,17.0,30.23243291566195,1753,178,58.0,43.0,"(1090.0 , 1109.0)"
486.0,2806,248,19.235384061671343,36.124783736376884,3063,244,68.8,55.0,"(1452.0 , 1122.0)"
487.0,1095,154,12.041594578792296,26.40075756488817,1148,154,51.5,30.0,"(1901.0 , 1113.0)"
488.0,720,118,10.0,19.6468827043885,742,118,38.6,23.0,"(2024.0 , 1113.0)"
489.0,970,145,11.0,22.47220505424423,1049,142,42.0,29.0,"(911.0 , 1123.0)"
490.0,1193,148,15.652475842498529,22.360679774997898,1229,148,44.3,36.0,"(1198.0 , 1130.0)"
491.0,975,138,13.0,21.470910553583888,1031,138,40.2,32.0,"(207.0 , 1134.0)"
492.0,1513,184,14.866068747318506,28.861739379323623,1623,184,56.0,36.0,"(421.0 , 1141.0)"
493.0,1204,164,13.601470508735444,27.313000567495326,1273,164,50.5,33.0,"(1250.0 , 1132.0)"
494.0,2099,232,19.235384061671343,31.78049716414141,2338,232,62.0,50.0,"(1366.0 , 1143.0)"
495.0,828,131,11.0,20.12461179749811,903,132,38.1,34.0,"(1503.0 , 1137.0)"
496.0,1403,166,15.652475842498529,25.709920264364882,1456,166,49.5,36.0,"(1558.0 , 1137.0)"
497.0,1831,192,19.235384061671343,29.427877939124322,1892,192,56.1,42.0,"(1826.0 , 1141.0)"
498.0,1943,238,12.165525060596439,40.0,2116,238,79.6,31.0,"(972.0 , 1155.0)"
499.0,2668,238,19.924858845171276,37.53664875824692,2838,238,67.7,56.0,"(1636.0 , 1154.0)"
500.0,2001,220,14.866068747318506,33.37663853655727,2218,220,62.4,46.0,"(1027.0 , 1153.0)"
501.0,1260,156,14.866068747318506,23.430749027719962,1336,156,43.9,39.0,"(784.0 , 1146.0)"
502.0,1950,224,15.811388300841896,38.8329756778952,2184,224,72.4,41.0,"(1152.0 , 1150.0)"
503.0,1395,194,11.0,35.90264614203248,1526,192,69.4,28.0,"(2033.0 , 1145.0)"
504.0,1069,160,8.602325267042627,24.413111231467404,1216,160,47.4,32.0,"(1730.0 , 1154.0)"
505.0,1035,148,12.083045973594572,23.021728866442675,1095,148,42.0,37.0,"(905.0 , 1151.0)"
506.0,997,150,10.0,23.08679276123039,1131,148,45.1,28.0,"(1102.0 , 1159.0)"
507.0,1502,170,16.0312195418814,26.248809496813376,1541,170,51.0,37.0,"(562.0 , 1162.0)"
508.0,1354,188,12.36931687685298,31.304951684997057,1573,188,59.1,37.0,"(1058.0 , 1176.0)"
509.0,1236,180,10.63014581273465,28.30194339616981,1353,180,54.5,29.0,"(1485.0 , 1172.0)"
510.0,1952,210,15.0,33.54101966249684,2118,210,65.1,42.0,"(110.0 , 1172.0)"
511.0,1416,176,13.601470508735444,32.01562118716424,1494,176,58.5,33.0,"(719.0 , 1171.0)"
512.0,1050,144,12.806248474865697,21.400934559032695,1095,144,40.5,32.0,"(236.0 , 1173.0)"
513.0,1431,184,13.0,32.449961479175904,1524,182,62.2,31.0,"(875.0 , 1183.0)"
514.0,1972,204,13.416407864998739,32.89376840679705,2179,204,61.3,48.0,"(1282.0 , 1176.0)"
515.0,1202,152,16.401219466856727,21.470910553583888,1241,152,42.0,36.0,"(1894.0 , 1173.0)"
516.0,1075,154,13.341664064126334,27.65863337187866,1148,154,51.3,32.0,"(180.0 , 1172.0)"
517.0,1348,158,17.0,23.769728648009426,1376,158,45.2,37.0,"(506.0 , 1178.0)"
518.0,2712,254,18.027756377319946,40.311288741492746,3008,252,72.9,59.0,"(1377.0 , 1189.0)"
519.0,2119,280,9.219544457292887,47.20169488482379,2615,270,92.1,38.0,"(1503.0 , 1202.0)"
520.0,2046,204,17.88854381999832,32.7566787083184,2111,204,61.8,45.0,"(1585.0 , 1188.0)"
521.0,1530,180,16.401219466856727,26.419689627245813,1662,180,48.5,42.0,"(936.0 , 1189.0)"
522.0,1904,262,2.0,47.43416490252569,2244,242,87.4,34.0,"(1169.0 , 1182.0)"
523.0,2019,246,11.661903789690601,45.617978911828175,2270,246,88.1,34.0,"(679.0 , 1196.0)"
524.0,2381,212,23.769728648009426,30.805843601498726,2438,212,59.0,56.0,"(2049.0 , 1199.0)"
525.0,1062,154,11.661903789690601,23.323807579381203,1172,154,45.3,31.0,"(330.0 , 1196.0)"
526.0,1364,228,8.246211251235321,38.07886552931954,1758,220,76.0,28.0,"(1554.0 , 1212.0)"
527.0,2369,272,13.0,47.50789408087881,2686,272,92.1,37.0,"(1763.0 , 1218.0)"
528.0,917,130,13.341664064126334,20.12461179749811,955,130,38.0,30.0,"(1971.0 , 1196.0)"
529.0,1952,236,13.601470508735444,37.16180835212409,2290,236,71.8,36.0,"(1668.0 , 1223.0)"
530.0,1557,182,15.811388300841896,26.68332812825267,1657,182,51.2,40.0,"(112.0 , 1212.0)"
531.0,1945,208,13.45362404707371,31.622776601683793,2112,208,60.5,46.0,"(1449.0 , 1223.0)"
532.0,1121,148,14.7648230602334,24.186773244895647,1187,148,44.4,35.0,"(834.0 , 1214.0)"
533.0,2489,300,10.0,49.24428900898052,3489,284,87.3,44.0,"(1408.0 , 1248.0)"
534.0,1561,172,18.24828759089466,25.632011235952593,1623,172,50.2,42.0,"(1092.0 , 1223.0)"
535.0,1320,154,17.804493814764857,25.495097567963924,1355,154,45.3,42.0,"(1867.0 , 1223.0)"
536.0,1395,200,10.44030650891055,40.26164427839479,1464,200,77.8,24.0,"(991.0 , 1242.0)"
537.0,2776,266,16.55294535724685,43.41658669218482,3019,264,86.0,42.0,"(1347.0 , 1249.0)"
538.0,877,132,11.40175425099138,20.518284528683193,921,132,40.4,29.0,"(190.0 , 1226.0)"
539.0,804,118,10.816653826391969,19.1049731745428,836,118,37.2,33.0,"(880.0 , 1225.0)"
540.0,1194,154,14.866068747318506,23.769728648009426,1248,154,46.2,35.0,"(1030.0 , 1233.0)"
541.0,2585,228,23.0,35.84689665786984,2696,228,69.9,52.0,"(1181.0 , 1250.0)"
542.0,1814,200,16.492422502470642,32.89376840679705,1924,200,63.2,37.0,"(1620.0 , 1251.0)"
543.0,1201,156,13.92838827718412,24.698178070456937,1290,156,44.7,42.0,"(1930.0 , 1243.0)"
544.0,2168,248,12.083045973594572,43.60045871318328,2498,248,81.5,34.0,"(922.0 , 1263.0)"
545.0,1823,200,13.152946437965905,30.886890422961002,1998,200,60.4,40.0,"(574.0 , 1253.0)"
546.0,897,160,9.219544457292887,29.206163733020468,993,160,55.2,23.0,"(1819.0 , 1258.0)"
547.0,1595,208,14.866068747318506,34.52535300326414,1800,200,66.1,33.0,"(689.0 , 1253.0)"
548.0,1112,164,11.180339887498949,24.515301344262525,1251,164,46.7,36.0,"(1526.0 , 1256.0)"
549.0,1636,182,15.811388300841896,29.966648127543394,1684,182,55.9,40.0,"(1998.0 , 1265.0)"
550.0,1646,204,12.529964086141668,34.655446902326915,1770,204,67.1,34.0,"(139.0 , 1261.0)"
551.0,617,118,7.0710678118654755,20.615528128088304,680,118,40.3,23.0,"(1486.0 , 1261.0)"
552.0,2229,212,21.93171219946131,30.463092423455635,2297,212,60.8,48.0,"(443.0 , 1269.0)"
553.0,1127,152,10.198039027185569,26.0,1200,152,51.7,25.0,"(955.0 , 1272.0)"
554.0,978,144,11.40175425099138,23.853720883753127,1015,144,47.2,28.0,"(1867.0 , 1265.0)"
555.0,2329,238,19.0,41.036569057366385,2590,236,75.7,47.0,"(1291.0 , 1286.0)"
556.0,979,146,10.770329614269007,20.615528128088304,1109,146,40.5,38.0,"(860.0 , 1274.0)"
557.0,2429,232,20.8806130178211,31.906112267087632,2566,232,62.6,52.0,"(1688.0 , 1286.0)"
558.0,1300,168,12.36931687685298,30.083217912982647,1379,168,58.5,28.0,"(1070.0 , 1274.0)"
559.0,1719,214,14.142135623730951,38.58756276314948,1819,214,76.1,33.0,"(340.0 , 1281.0)"
560.0,1287,166,11.180339887498949,26.30589287593181,1376,166,50.6,33.0,"(1009.0 , 1290.0)"
561.0,1865,204,16.278820596099706,32.64965543462902,2041,204,61.4,40.0,"(485.0 , 1298.0)"
562.0,1341,183,13.601470508735444,30.479501308256342,1513,184,56.4,36.0,"(818.0 , 1293.0)"
563.0,1879,212,14.0,36.24913792078372,2096,210,66.1,46.0,"(531.0 , 1309.0)"
564.0,2174,238,17.0,40.0,2405,238,73.2,44.0,"(691.0 , 1306.0)"
565.0,249,78,3.1622776601683795,14.212670403551895,280,78,27.7,11.0,"(1458.0 , 1292.0)"
566.0,846,130,11.40175425099138,22.02271554554524,888,130,43.4,28.0,"(1813.0 , 1301.0)"
567.0,1275,170,11.661903789690601,30.805843601498726,1379,170,57.7,33.0,"(1940.0 , 1310.0)"
568.0,1537,184,16.278820596099706,28.284271247461902,1632,184,54.5,38.0,"(590.0 , 1307.0)"
569.0,1681,214,8.602325267042627,34.828149534535996,1998,214,66.6,35.0,"(825.0 , 1318.0)"
570.0,790,124,9.848857801796104,19.849433241279208,835,124,38.9,29.0,"(1904.0 , 1306.0)"
571.0,1000,140,13.038404810405298,24.08318915758459,1040,140,46.0,30.0,"(1866.0 , 1310.0)"
572.0,1827,206,14.866068747318506,33.015148038438355,1971,206,63.2,41.0,"(1530.0 , 1323.0)"
573.0,1026,142,12.041594578792296,21.02379604162864,1105,142,40.7,34.0,"(1976.0 , 1322.0)"
574.0,2071,276,12.083045973594572,50.21951811795888,2318,276,97.7,31.0,"(1757.0 , 1334.0)"
575.0,874,134,10.0,24.515301344262525,907,134,46.9,22.0,"(1644.0 , 1320.0)"
576.0,2907,368,17.029386365926403,67.11929677819934,3626,348,132.1,42.0,"(1236.0 , 1340.0)"
577.0,1553,170,16.64331697709324,27.65863337187866,1611,170,54.7,41.0,"(327.0 , 1339.0)"
578.0,925,134,12.206555615733702,21.213203435596427,954,134,40.5,29.0,"(745.0 , 1335.0)"
579.0,1940,198,17.69180601295413,30.01666203960727,2015,198,55.4,47.0,"(404.0 , 1348.0)"
580.0,1313,192,11.704699910719626,29.732137494637012,1479,192,57.0,32.0,"(458.0 , 1344.0)"
581.0,1256,166,14.0,27.51363298439521,1343,166,52.4,32.0,"(651.0 , 1349.0)"
582.0,1807,218,13.0,39.20459156782532,1949,216,77.9,32.0,"(1358.0 , 1366.0)"
583.0,1322,186,12.041594578792296,31.144823004794873,1418,186,61.8,30.0,"(596.0 , 1360.0)"
584.0,1172,154,13.0,27.294688127912362,1236,154,52.8,30.0,"(1911.0 , 1350.0)"
585.0,1124,148,12.041594578792296,25.0,1172,148,48.1,29.0,"(1620.0 , 1353.0)"
586.0,1282,174,8.94427190999916,31.38470965295043,1354,174,60.7,25.0,"(546.0 , 1356.0)"
587.0,1477,178,14.7648230602334,29.068883707497267,1534,178,53.0,39.0,"(874.0 , 1370.0)"
588.0,1287,180,10.04987562112089,30.805843601498726,1431,180,60.5,31.0,"(1185.0 , 1373.0)"
589.0,2603,266,13.92838827718412,47.01063709417264,2789,266,91.2,42.0,"(1439.0 , 1375.0)"
590.0,1418,172,15.811388300841896,29.732137494637012,1483,172,55.9,37.0,"(186.0 , 1371.0)"
591.0,1631,194,10.63014581273465,31.11269837220809,1732,194,59.5,38.0,"(694.0 , 1386.0)"
592.0,1930,204,18.0,32.01562118716424,2125,204,61.1,53.0,"(816.0 , 1385.0)"
593.0,2129,210,19.79898987322333,30.4138126514911,2206,210,59.1,47.0,"(1822.0 , 1389.0)"
594.0,1016,150,9.0,25.495097567963924,1115,150,46.7,33.0,"(103.0 , 1379.0)"
595.0,1881,200,17.88854381999832,30.4138126514911,2012,200,57.3,48.0,"(443.0 , 1393.0)"
596.0,1390,176,12.529964086141668,29.068883707497267,1529,174,52.2,40.0,"(1263.0 , 1392.0)"
597.0,1448,170,16.15549442140351,28.635642126552707,1497,170,52.2,35.0,"(302.0 , 1397.0)"
598.0,1342,174,12.0,26.92582403567252,1521,174,49.4,40.0,"(620.0 , 1401.0)"
599.0,1780,196,14.866068747318506,29.206163733020468,1909,196,56.9,40.0,"(1078.0 , 1404.0)"
600.0,2313,210,22.360679774997898,30.083217912982647,2395,210,58.8,53.0,"(1897.0 , 1408.0)"
601.0,1294,166,13.416407864998739,26.40075756488817,1346,166,51.5,34.0,"(1967.0 , 1413.0)"
602.0,1263,164,14.035668847618199,26.627053911388696,1359,164,51.9,36.0,"(522.0 , 1412.0)"
603.0,1259,164,12.649110640673518,29.546573405388315,1334,164,54.6,29.0,"(251.0 , 1409.0)"
604.0,895,136,12.529964086141668,20.808652046684813,988,136,38.5,33.0,"(1564.0 , 1410.0)"
605.0,2564,254,19.72308292331602,38.3275357934736,2801,254,71.4,55.0,"(195.0 , 1431.0)"
606.0,1552,178,17.69180601295413,28.600699292150182,1671,178,53.2,42.0,"(1422.0 , 1428.0)"
607.0,1036,146,12.041594578792296,22.80350850198276,1092,146,42.0,31.0,"(1384.0 , 1427.0)"
608.0,1072,150,11.40175425099138,25.942243542145693,1134,150,48.3,31.0,"(487.0 , 1431.0)"
609.0,1416,180,11.0,28.861739379323623,1573,170,56.0,33.0,"(726.0 , 1440.0)"
610.0,958,136,12.649110640673518,22.135943621178654,1004,136,43.1,28.0,"(1298.0 , 1431.0)"
611.0,834,124,13.341664064126334,18.35755975068582,865,124,35.4,31.0,"(2054.0 , 1433.0)"
612.0,913,142,11.313708498984761,24.186773244895647,950,142,48.0,27.0,"(643.0 , 1436.0)"
613.0,917,144,9.899494936611665,23.430749027719962,1017,144,44.4,27.0,"(452.0 , 1441.0)"
614.0,1799,190,18.35755975068582,30.01666203960727,1863,190,56.4,42.0,"(1764.0 , 1450.0)"
615.0,2394,262,13.038404810405298,41.773197148410844,2816,262,80.1,43.0,"(858.0 , 1449.0)"
