Cell id,Compactness,Eccentricity,Roundness,Convexity,Solidity,Sphericity
523.0,0.41925279711797164,0.38592508513053353,0.41925279711797164,1.0,0.8894273127753304,0.25564271078802253
524.0,0.6657290947131806,0.9491525423728814,0.6657290947131806,1.0,0.9766201804757998,0.771598043393722
525.0,0.5627207620361545,0.6843267108167771,0.5627207620361545,1.0,0.9061433447098977,0.5
526.0,0.3297270221219204,0.3684210526315789,0.354143171859213,0.9649122807017544,0.7758816837315131,0.21655611680148387
527.0,0.40238067670600236,0.4017372421281216,0.40238067670600236,1.0,0.8819806403574088,0.27363873418317436
528.0,0.681855730968483,0.7894736842105263,0.681855730968483,1.0,0.9602094240837696,0.6629526173411688
529.0,0.4404186196356849,0.5013927576601671,0.4404186196356849,1.0,0.8524017467248908,0.36600669105915595
530.0,0.5906846711314222,0.78125,0.5906846711314222,1.0,0.9396499698249849,0.5925568289249715
531.0,0.5649406167929131,0.7603305785123967,0.5649406167929131,1.0,0.9209280303030303,0.42544094772365293
532.0,0.643120044681183,0.7882882882882883,0.643120044681183,1.0,0.9443976411120472,0.6104503031775582
533.0,0.3475299606571109,0.5040091638029782,0.38779131694033897,0.9466666666666667,0.7133849240470048,0.2030692330267238
534.0,0.6630646474112584,0.8366533864541832,0.6630646474112584,1.0,0.9617991373998768,0.7119335046677415
535.0,0.6994269358641468,0.9271523178807948,0.6994269358641468,1.0,0.974169741697417,0.6983497030086773
536.0,0.43825217517577614,0.30848329048843187,0.43825217517577614,1.0,0.9528688524590164,0.25931147860528464
537.0,0.49302172007265904,0.4883720930232558,0.5005200416876301,0.9924812030075187,0.9195097714474991,0.38125856080313314
538.0,0.6325015512392673,0.7178217821782178,0.6325015512392673,1.0,0.9522258414766558,0.5556875008265183
539.0,0.7256077257932185,0.8870967741935483,0.7256077257932185,1.0,0.9617224880382775,0.5661695375110529
540.0,0.6326634556225692,0.7575757575757576,0.6326634556225692,1.0,0.9567307692307693,0.6254202127193174
541.0,0.6248858886988008,0.7439198855507868,0.6248858886988008,1.0,0.9588278931750742,0.6416176055494213
542.0,0.5698849073611885,0.5854430379746836,0.5698849073611885,1.0,0.9428274428274428,0.501384405049277
543.0,0.6201598910192869,0.9395973154362416,0.6201598910192869,1.0,0.9310077519379845,0.5639439572202596
544.0,0.4429612950691123,0.4171779141104294,0.4429612950691123,1.0,0.8678943154523618,0.277131166281539
545.0,0.5727123407494193,0.6622516556291391,0.5727123407494193,1.0,0.9124124124124124,0.425842364117954
546.0,0.4403138453546944,0.41666666666666663,0.4403138453546944,1.0,0.9033232628398792,0.3156711898752138
547.0,0.4632803515602552,0.4992435703479577,0.501084028247572,0.9615384615384616,0.8861111111111111,0.4305841201946008
548.0,0.5195495286721966,0.7708779443254817,0.5195495286721966,1.0,0.8888888888888888,0.45605557649470035
549.0,0.6206551843102164,0.7155635062611807,0.6206551843102164,1.0,0.9714964370546318,0.5276328614914091
550.0,0.4970262887167243,0.5067064083457526,0.4970262887167243,1.0,0.9299435028248587,0.3615582889886309
551.0,0.5568407547442983,0.5707196029776676,0.5568407547442983,1.0,0.9073529411764706,0.3429971702850177
